identifier,dr7obid_complete,List_num,RA_deg,Dec_deg,PETROR50_R_arcsec,redshift,REDSHIFT_ERR,ang_arcsec,angsize_to_petro,ang_diam_dist,EstDist_Mpc,length_maj,velocity_km_s,MorphType
2373508387443861504,588017977818021983,73,181.2753448,39.2364769,5.9603915,0.0382903,7.82E-05,24.15481529,4.052555153,161.7504352,175.416459,61780.2869,11157.15837,Ir
1650604499527559168,588017606302302282,509,208.4248073,43.76880606,5.3539166,0.0334917,9.15E-05,21.69704231,4.052555153,142.29819,195.2870859,48820.32362,9792.7684,Ir
2036881363080079360,587736543090376930,51,211.5391454,9.57143657,6.294874,0.0247854,0.00010626,31.17928497,4.953122965,106.420269,135.8963866,52467.60568,7293.305667,Ir
2474765994124404736,587739828214235379,14,243.9922069,15.15596683,8.463637,0.029903,7.38E-05,37.3519984,4.413232562,127.6015419,113.4384329,75365.13937,8766.287382,Ir
1497598930928560128,587733442118549634,155,229.4007111,49.00738144,5.02201,0.0368319,8.50E-05,24.62588673,4.903591735,155.8624317,172.0608972,60692.36585,10743.46949,Ir
1794851902349928448,587735662084685849,64,146.2930039,35.77760772,3.8265705,0.0221618,8.13E-05,15.507388,4.052555153,95.45851607,273.23442,23407.44837,6533.916197,Ir
1309561549291022336,587733429771108475,219,222.9719086,54.81066513,5.2885194,0.0377061,8.27E-05,22.30366971,4.21737504,159.3943447,189.9755609,56214.71016,10991.54667,Ir
892994521661466624,588011103713230853,91,228.4381725,55.79068507,4.538193,0.0115377,9.69E-05,18.39127743,4.052555153,50.34393153,230.3892256,14640.63002,3428.697864,Ir
2476990305425975296,587739707421688228,467,242.9654259,16.98915501,4.0413055,0.0356137,8.76E-05,14.59245357,3.610826641,150.9281817,290.3659858,34825.6637,10397.26189,Ir
987491498469648384,587732134306906259,85,164.7066788,49.71607616,6.032506,0.00229808,0.000178295,22.00235695,3.647299638,10.14173543,192.5771941,3528.435843,687.7342558,Ir
710450572678948864,587729233592123702,362,255.0527344,41.25540543,4.9756,0.0287804,9.68E-05,18.14750408,3.647299638,122.977789,233.4840178,35289.40414,8444.103363,Ir
2383571403510147072,587739406790885597,252,208.7720584,32.29274265,5.823235,0.0222924,9.79E-05,26.22109001,4.502839059,96.00584207,161.5932886,39806.05553,6571.786532,Ir
1436814358305859584,587735044157014118,346,147.235164,38.83740712,4.4873185,0.0310177,8.52E-05,24.94527532,5.559060567,132.1802706,169.8579033,52138.15758,9085.690861,Ir
2413945956195133440,587739809953808675,124,222.8379822,21.89643669,5.101785,0.0602513,7.86E-05,20.67526509,4.052555153,247.9455743,204.9382267,81060.29677,17286.57263,Ir
701473884402116608,587725818038386912,436,244.3844147,51.49289703,3.6345325,0.0361042,0.000164816,18.18412767,5.00315451,152.9166799,233.0137712,43969.1504,10536.7318,Ir
1334256030242072576,587732702313906801,313,125.6678845,3.76293816,6.6581297,0.013418,0.000122659,29.98048647,4.502839059,58.4141935,141.3303339,27692.22187,3981.841827,Ir
316493624500054016,588848900982767756,469,171.6656494,0.734192431,2.9730396,0.0967114,8.09E-05,17.11614482,5.75711969,381.3678454,247.5529513,103216.8896,27077.63255,Ir
1129380455209003008,587732579385933938,401,165.4860382,7.947167397,4.7581472,0.0337582,9.00E-05,18.79472153,3.950008426,143.384468,225.443732,42612.67001,9868.786287,Ir
1059597751869794304,587732154180632791,225,147.4291534,44.44738388,6.542822,0.0162753,0.000268481,29.46127446,4.502839059,70.6068049,143.821075,32892.64753,4819.438232,Ir
327700951790020608,587722983355318470,200,190.6156158,0.048211422,5.3444643,0.00506205,1.96E-05,19.49286271,3.647299638,22.26377143,217.3694151,6862.385332,1511.700335,Ir
857984144972474368,587728931340419245,384,128.7334593,43.73926859,3.813128,0.0264771,8.32E-05,18.23100914,4.781116484,113.4513076,232.4145708,32705.51232,7781.427551,Ir
2036845628952176640,588017991766114501,226,210.5312347,9.295120239,2.4822073,0.0771813,3.86E-05,12.66676292,5.103023798,311.3494005,334.509471,62361.19346,21889.94664,Ir
