#Wavelength          Flux                Uncertainty          Subtracted Sky
#[Angstrom]   [10^-17 erg/s/cm^2/A] [10^-17 erg/s/cm^2/A] [10^-17 erg/s/cm^2/A]
4128.57            25.097600                1.882238               3.090425
4129.52            22.201900                1.852093               0.180206
4130.48            22.010400                1.838099               0.000977
4131.43            24.284200                1.843695               2.274776
4132.38            23.878800                1.882662               1.880833
4133.33            21.838500                1.833579              -0.162121
4134.28            24.627900                1.869508               2.616011
4135.23            24.127700                1.845659               2.104370
4136.19            21.985000                1.812103              -0.037630
4137.14            22.860100                1.826869               0.825842
4138.09            23.815500                1.868947               1.774195
4139.04            23.629700                1.948145               1.577169
4140.00            26.327600                1.964716               4.275070
4140.95            26.339200                1.886755               4.297894
4141.90            27.227500                1.874646               5.197435
4142.86            23.082700                1.839644               1.041395
4143.81            20.826200                1.793957              -1.226002
4144.77            24.148100                1.820144               2.073469
4145.72            24.153300                1.788359               2.056238
4146.68            23.651200                1.765795               1.554138
4147.63            18.375700                1.690485              -3.721361
4148.59            20.554300                1.749024              -1.566074
4149.54            24.360700                1.866273               2.243429
4150.50            22.331400                1.865776               0.214128
4151.45            20.735700                1.826866              -1.405205
4152.41            20.975400                1.797016              -1.165504
4153.36            22.733600                1.796265               0.592695
4154.32            23.348300                1.804693               1.184307
4155.28            21.744000                1.799662              -0.427471
4156.23            21.502500                1.872288              -0.671404
4157.19            25.191800                1.923482               3.040735
4158.15            20.036000                1.868748              -2.115065
4159.11            23.709700                1.832839               1.536304
4160.06            22.372300                1.798183               0.175842
4161.02            19.269700                1.785859              -2.950441
4161.98            19.824200                1.815026              -2.372257
4162.94            17.548200                1.747672              -4.648256
4163.90            21.196600                1.802009              -0.999857
4164.86            20.399300                1.798683              -1.809866
4165.82            23.073100                1.795850               0.867660
4166.77            24.452200                1.839781               2.223074
4167.73            21.907500                1.829772              -0.337936
4168.69            24.567300                1.841524               2.321865
4169.65            24.351500                1.842924               2.083281
4170.61            22.281200                1.780753              -0.009390
4171.57            21.282100                1.780386              -1.024326
4172.54            22.461700                1.710504               0.153391
4173.50            23.735900                1.812278               1.406389
4174.46            22.196300                1.843482              -0.133211
4175.42            21.626700                1.834930              -0.713640
4176.38            22.502000                1.790810               0.153864
4177.34            21.108100                1.694171              -1.250484
